alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Soupe au potiron, déshydratée reconstituée;38,3;-;0,79;5,61;1,24;2,64;-;0,76;0,7;0;0,61;0,61;-;0,7;-;-;0,01;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe asiatique, avec pâtes, préemballée à réchauffer;22,3;-;0,7;3,4;0,5;0,5;-;0,7;0,9;0;0,2;0,2;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe minestrone, déshydratée reconstituée;31,3;91,3;1,14;5,53;0,34;1,07;-;0,79;0,97;0;0,02;0,02;-;0,7;-;-;122;-;-;-;5;-;-;-;-;0,06;18;-
entrées et plats composés;Soupe au cresson, déshydratée reconstituée;25,1;-;0,42;3,95;0,8;0,31;-;0,19;0,77;0;0,42;0,42;-;0,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe au cresson, préemballée à réchauffer;34;-;1;5,4;0,8;0,9;-;0,6;0,78;0;0,5;0,5;-;0,78;-;-;-;-;-;-;-;-;-;-;-;0,25;30;-
entrées et plats composés;Soupe aux légumes avec fromage, préemballée à réchauffer;50,2;-;1,34;5,09;2,51;1,62;-;0,93;0,67;0;1,58;1,58;-;0,67;-;-;-;-;-;-;11;-;-;-;-;0,3;30;-
entrées et plats composés;Soupe aux légumes verts, préemballée à réchauffer;33,4;90,9;1;3,84;1,32;0,81;3,03;1,05;0,95;0;2,549;0,64;3,52;0,7;0,27;7,1;120;< 0,25;0,28;16,5;9;0,17;0,042;0,53;0,22;0,25;27,5;-
entrées et plats composés;Soupe aux légumes verts, déshydratée reconstituée;34,8;91,8;0,72;5,31;1,07;1,07;3,3;0,54;0,85;0;2,03;0,71;< 0,7;0,66;0,11;3;50;< 0,25;0,18;2,82;6,15;0,05;0,014;0,15;0,072;0,033;7,6;-
entrées et plats composés;Soupe aux pois cassés, préemballée à réchauffer;56,7;-;2,68;6,25;1,98;1,02;-;1,6;0,7;0;0,67;0,67;-;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe froide type Gaspacho ou Gazpacho, préemballée;32,8;91,1;0,65;3,38;1,62;2,32;< 0,35;1,04;1,13;0;0,859;0,27;-;0,75;0,11;8,9;210;< 0,25;1,31;52,6;1,98;< 0,01;0,02;0,56;0,093;0,041;< 5;-
entrées et plats composés;Soupe aux asperges, préemballée à réchauffer;133;-;4,6;4,7;10,4;2,9;-;1;0,98;0;5,1;5,1;-;0,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Soupe (aliment moyen);37,4;90,7;1,27;4,5;1,37;1,6;2,1;1,02;1,05;0;2,3803;0,57;7,47;0,75;0,27;7,19;108;;0,48;6,98;5,04;0,05;0,036;0,49;0,23;0,1;15,8;0,24
entrées et plats composés;Soupe miso, déshydratée reconstituée;17,1;94,6;1,38;2,18;< 0,5;0,69;-;< 0,5;1,29;0;0;< 0,0098;-;1,1;0,19;6,9;49;< 0,25;0,26;1,15;-;< 0,015;< 0,01;< 0,1;0,068;< 0,01;16,5;1,98
entrées et plats composés;Tripes à la mode de Caen;116;74;20,4;0,3;3,68;traces;0,3;0;1,5;0;4,9728;1,29;119;1,06;1,1;6,4;42,5;-;0,47;-;0;0,02;-;0,37;0,42;0,023;-;1,2
entrées et plats composés;Tripes à la mode de Caen, préemballées;112;77,9;18,4;0,7;3,62;0,5;-;1,25;1,1;0;2,1;2,1;-;1,03;0,9;6,6;34,6;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Tripes à la tomate ou à la provençale;94,1;76,6;15,7;0,6;3,2;< 0,4;-;0;1,43;0;6,1;1,64;-;1,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Blanquette de veau;113;75,1;15,4;3,1;4;0,3;1,9;0,8;1,25;0;7,06;2,03;56,6;0,74;0,92;12;190;< 0,25;0,37;2,55;< 0,5;0,062;0,047;1,77;0,33;0,074;23,3;1,59
entrées et plats composés;Boeuf bourguignon;84,6;78,4;8,93;4,17;3,3;1,57;1,3;1,25;1,36;0;4,301;0,88;64;0,88;1,75;13,3;230;0,5;0,6;-;0,8;0,07;0,1;2,3;0,3;0,23;11;0,6
