alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Petit salé ou saucisse aux lentilles, préemballé;118;73,5;8,24;8,89;4,87;1,51;6,3;2,83;1,64;0;6,607;1,89;27;0,98;1,8;19,4;167;< 0,5;0,39;-;< 0,5;0,24;0,075;1,5;0,23;0,14;22,9;0,13
entrées et plats composés;Pot-au-feu, préemballé;77,5;82,9;10,9;3,2;2,02;1,5;1,7;1,5;0,78;0;3,6858;0,82;28,8;0,32;1,69;16,2;189;-;-;-;-;-;-;-;-;-;4,6;-
entrées et plats composés;Boeuf aux carottes;96,6;78,5;13,2;3,3;3,15;0,6;2,7;1,1;1,15;0;6,1033;1,21;47;0,58;0,9;11,3;119;0;0,4;-;2;0,07;0,16;1,77;0,44;0,16;9,5;0,8
entrées et plats composés;Potée auvergnate (chou et porc);82,1;82,5;6;3,7;4,3;0,86;2,84;2,3;1,26;0;4,8;1,57;28;0,84;1,05;14,3;221;0;0,5;-;10,5;0,18;0,09;1,23;0,31;0,16;19,9;0,2
entrées et plats composés;Cassoulet au porc, appertisé;132;71,1;8,3;8,6;6,3;1,8;-;4;1,67;0;2,2;2,2;-;1,1;-;-;293;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Cassoulet au canard ou oie, appertisé;161;68,6;10,5;10,1;7,86;1,09;-;3,86;1,6;0;10,92;2,43;-;1,05;-;-;307;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Tomate farcie;122;78,5;5,49;2;9,67;0,88;1,12;2,31;1,33;0;11,773;3,24;42;0,7;0,87;12,8;199;0,1;1,1;-;7;0,06;0,06;0,9;-;0,07;-;-
entrées et plats composés;Chou farci, préemballé;94,9;81,2;5,3;2;6,6;2;-;3,13;1,44;0;0;-;-;0,87;-;41,4;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Chili con carne, préemballé;118;74,2;7,13;13;3,35;2,58;4,6;3,56;1,8;0;5,35932;1,13;14,6;0,93;1,6;27,3;282;< 0,5;0,88;4,6;2,25;0,088;0,068;1,25;< 0,16;0,15;44;0,35
entrées et plats composés;Moussaka;147;76;5,82;5,16;10,8;3,01;0,9;2,84;1,74;0;11,676;3,37;31;0,97;0,62;22;576;0,2;0,46;-;3,1;0,06;0,11;1,3;0,33;0,09;10;0,6
entrées et plats composés;Navarin d'agneau aux légumes;133;73,7;8,05;5;8,61;0,9;1,61;1,65;1,01;0;4,89;1,4;40,3;0,63;1,31;17,9;230;0,039;0,84;-;4,76;0,1;0,14;3,15;0,4;0,14;18,4;1,19
entrées et plats composés;Tajine de mouton;132;73;12,8;4,5;6,83;2,4;2,1;< 1;1,5;0;6,5;2,73;57,8;0,99;1,6;14,7;211;< 0,5;0,71;-;< 0,5;0,07;0,16;2,95;0,23;0,19;24;1,65
entrées et plats composés;Osso buco;96,7;77,4;11,2;3,5;4,08;1,1;2,3;0,6;1,9;0;3,81;0,8;26;1,47;0,6;18,4;234;0;0,53;-;2,4;0,083;0,12;3,48;0,25;0,19;11;0,38
entrées et plats composés;Poulet basquaise, préemballé;107;-;9,3;2,5;6,4;2;-;1,3;0,89;0;1,7;1,7;-;0,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Tajine de poulet, préemballé;127;72,7;7,54;14,4;3,7;6,8;2,3;3;1,7;0;7,079;0,4;27,7;1,17;0,45;17;220;< 0,25;1,27;7,32;< 0,5;0,14;0,037;2,3;0,39;0,096;30,2;0,075
entrées et plats composés;Chop suey (porc ou poulet), préemballé;78,2;-;5;7,8;3;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Légumes farcis (sauf tomate);69,8;81,1;6,4;3,6;3;2,59;1,01;1,4;1,2;0;2,87;0,46;30,8;0,69;0,56;14,1;184;0,088;0,55;-;4,86;0,1;0,13;1,24;0,46;0,11;21,2;0,18
entrées et plats composés;Moules marinières (oignons et vin blanc);92;76,5;10,3;7,43;2,24;1,05;-;0,53;1,6;0;2,37;0,99;-;0,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Moules farcies (matière grasse, persillade…), préemballées, crues;284;57,5;9,56;4,43;24,8;0,3;-;1,26;1,74;0;44,47;16,6;88,5;1,08;2,5;45;180;< 0,25;1,79;11,4;< 0,5;< 0,015;0,14;1,09;0,34;0,063;54,2;19,3
entrées et plats composés;Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru;105;78,4;6,13;8,39;5,1;2,48;-;0,5;1,39;0;9,19;3,18;-;0,82;0,41;13,8;223;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit;117;78,2;6,69;5,28;7,5;1,6;2,3;0,7;1,52;0;13,4;4,82;35,4;0,92;0,28;24;180;< 0,25;0,63;3,6;< 0,5;< 0,015;0,043;< 0,1;0,28;0,022;19,4;0,95
entrées et plats composés;Saumon à l'oseille, préemballé;133;71,2;8,36;7,43;7,65;0,58;-;0,73;1,01;0;7,37;3,19;-;0,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poisson blanc à la bordelaise, préemballé;176;67,5;14,8;5,3;10,4;1,09;3,7;1;2;0;13,1991;2,3;51;1,28;1,2;17,5;317;0,9;2,6;-;9,7;< 0,05;< 0,05;9,2;0,18;< 0,05;< 5;2,2
entrées et plats composés;Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé;75,2;83,6;9,31;3,1;2,3;2;-;2,4;1,5;0;2,818;0,42;28;0,7;< 1;24,2;348;< 0,2;1,1;-;-;< 0,05;0,07;1,2;0,25;< 0,05;< 5;1,1
entrées et plats composés;Poisson blanc à la florentine (sauce aux épinards), préemballé;100;-;11,4;2,9;4,35;1,95;-;2;0,56;0;2,75;2,75;-;0,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé;80;-;11,5;2,2;2,8;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poisson blanc à la sauce moutarde, préemballé;90,8;-;9,2;5,4;3,6;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poisson blanc à la parisienne (sauce aux champignons), préemballé;79,9;84,2;9,16;3;3,25;0,86;-;1;1,24;0;3,159;1,56;-;0,55;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poisson blanc à l'estragon, préemballé;77,2;-;8,8;4,2;2,8;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poisson blanc sauce oseille, préemballé;114;78,6;11,8;3,9;5,5;1,65;-;1;1,68;0;9,484;3,31;45,6;0,88;0,24;27;260;< 0,5;1,1;3,6;< 0,5;0,075;0,06;0,8;0,2;0,058;18,8;1,87
entrées et plats composés;Saumon farci, préemballé;227;-;18,8;0,4;16,2;0,4;-;2,4;0,65;0;3,8;3,8;-;0,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Brochette de poisson;127;73,8;18;0,86;5,71;0,85;0,012;0,29;1,25;0;5,46;0,98;43,5;0,56;0,72;28,4;320;1,41;1,02;-;6,33;0,074;0,067;2,84;0,29;0,26;12;2,03
entrées et plats composés;Brochette de crevettes;93,5;75;18,5;1,5;1,5;0;0,13;0;2,71;0;1,334;0,1;120;0,35;1,7;36,8;169;0,21;1,96;-;8,33;0,034;0,038;1,79;0,25;0,11;10,1;1,14
entrées et plats composés;Poisson en sauce, surgelé;132;75;13,3;3,18;7,05;1,3;-;1,25;1,75;0;7,6097;2,84;28;0,82;0,4;19,7;331;1,13;2,31;-;0;0,086;0,086;1,77;0,25;0,17;34,5;1,53
entrées et plats composés;Poisson cuit (aliment moyen);144;69,3;23,5;0;5,52;0;0,021;0;1,49;0;6,98;1,21;57,5;0,54;0,69;30;347;3,69;0,91;;0,96;0,11;0,12;5,27;0,59;0,33;17,7;3,87
entrées et plats composés;Poisson blanc, cuit (aliment moyen);107;74;22;0;2,18;0;0,038;0;1,7;0;2,7932;0,44;63,6;0,88;0,38;27;296;1,59;0,71;;0,45;0,061;0,089;2,2;0,25;0,21;15;1,92
entrées et plats composés;Poisson blanc, de mer, cuit (aliment moyen);106;74;22,1;0;2;0;0,043;0;1,77;0;2,6682;0,38;61,3;0,98;0,37;26,6;294;1,19;0,71;;0,37;0,06;0,09;2,14;0,23;0,21;13,6;1,99
entrées et plats composés;Paëlla;148;66,9;7,86;17,1;4,9;1,2;15,1;1,85;1,26;0;5,111;1,28;22,8;0,87;0,69;25,4;148;< 0,5;1,3;-;1,95;0,073;0,45;2,6;0,42;0,12;18,8;1,1
entrées et plats composés;Couscous au poisson;105;75,6;7,5;14,2;1,6;1,7;12,5;1,7;1,4;0;1,4;0,2;15,6;0,84;4,1;23;192;0,1;1,2;-;7,6;0,1;0,1;-;0,2;0,1;24;0,5
entrées et plats composés;Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;117;74,9;6,39;8,57;6,15;1,62;6,4;1,1;1,56;0;10,0424;3,68;31;0,81;< 1;17,1;190;1,1;1,5;-;< 1;< 0,05;0,09;0,32;0,23;< 0,05;< 5;0,36
entrées et plats composés;Sushi ou Maki aux produits de la mer;171;60,3;6,69;26,9;3,7;4,93;19;0,9;0,97;0;6,48;0,6;13,1;0,55;0,25;14;130;1,14;0,33;2,78;1,11;0,031;0,018;1,28;0,34;0,15;9,19;1,36
entrées et plats composés;Terrine ou mousse de légumes;-;75,9;4,05;5,6;9,56;1,77;3,83;2,55;1,75;0;9,14;3,43;1,75;1,31;0,78;24;232;0,2;2,11;-;2,16;2,82;1,34;3,98;-;0,36;110;traces
entrées et plats composés;Flan de légumes;-;68;5,38;4,13;18,6;2,06;1,5;2,3;1,47;0;33,46;10,8;153;0,89;0,75;12;200;< 0,25;1,36;44,3;< 0,5;0,1;0,18;0,7;0,44;0,073;51,4;0,6
entrées et plats composés;Haricots blancs à la sauce tomate, appertisés;-;78,9;4,67;10,1;0,4;1,65;-;5,5;1,7;0;0,16;0,16;-;0,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Piperade basquaise, préemballée;-;84,5;1,1;6,5;3,8;4,9;-;3,4;1,53;0;6,39;2;2,09;0,76;0,24;7,9;190;-;1,3;3,77;12,2;0,029;0,016;0,62;0,071;0,063;11;-
entrées et plats composés;Poêlée de légumes assaisonnés sans champignon, surgelée, crue;81,2;81,7;2,6;12,1;1,77;1,5;-;3,6;1,28;0;1,18;0,4;-;1,25;6;-;-;-;-;-;30,8;-;-;-;-;-;-;-
entrées et plats composés;Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;-;-;3,13;5,83;3,93;3,1;-;2,55;0,44;0;0,48;0,48;-;0,44;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;-;86,5;1,61;4,33;1,77;2,66;-;4,14;0,77;0;3,371;0,14;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";-;91,4;1,89;3,59;1,21;1,81;-;2,94;0,79;0;1,11846;0,22;-;0,35;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Ratatouille cuisinée, préemballée;-;88;1,22;4,97;3,15;3,91;-;2,03;1,29;0;4,2454;0,47;0,07;0,94;0,38;18,6;295;0;1,56;-;25,2;0,03;0,03;0,56;-;0,04;18;-
entrées et plats composés;Épinards à la crème, préemballés;-;86,9;2,5;4,1;2,9;1,19;-;1,9;1,38;0;5,19;1,82;-;0,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Gratin d'aubergine, préemballé;-;80,9;1,95;5,45;8,68;3,8;-;2,35;0,9;0;1,3;1,3;-;0,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Gratin dauphinois;-;74,7;3,38;14,5;4,2;2,08;12;1,5;1,42;0;7,52;2,67;14,3;0,81;0,32;13,8;219;0;0,24;-;3,1;0,02;0,081;0,94;0,24;0,04;7;0
entrées et plats composés;Endive au jambon;-;78,4;7,44;4,71;6,3;1,98;2,73;1,5;1,32;0;11,2;3,77;23,7;0,65;0,38;18,2;104;0,28;0,23;-;3,72;0,24;0,14;1,45;0,28;0,11;14,3;0,3
entrées et plats composés;Gratin de chou-fleur, préemballé;-;82,1;3;3,3;6,5;0,88;2,42;1,3;1,33;0;10,214;4;15,3;1,07;0,27;10,7;147;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Gratin de légumes;-;79,6;3,44;6,91;6,7;3,42;1,65;1,7;1,27;0;12,08;3,41;19,7;0,57;0,51;16,6;175;0,084;1,84;-;12,6;0,051;0,072;0,46;0,27;0,11;41;0,12
entrées et plats composés;Riste d'aubergines (aubergines, tomates, oignons), préemballée;-;-;1,05;10,6;10,4;5,2;-;2,6;1,19;0;9,89;2;-;1,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Palet ou galette de légumes, préfrit, surgelé;-;79,4;3,29;10,7;5,44;3,34;-;2,61;1,52;0;5,589;1,13;-;0,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Palet ou galette de légumes, préfrit, surgelé, cuit;-;78,2;3,31;8,45;5,7;3;4,5;2,6;1,42;0;10,49;0,64;27,4;0,75;0,52;16;250;< 0,25;2,63;20,2;1,23;0,19;0,11;< 0,1;0,31;0,088;33,8;0,18
entrées et plats composés;Choucroute, sans garniture, égouttée, cuite;75,3;85,6;1,38;< 0,1;6,6;< 0,2;< 0,35;4,5;1,62;0;12,09;2,02;8,44;1,26;0,3;6,8;83;< 0,25;0,4;31;17,2;< 0,015;< 0,01;< 0,1;0,11;0,055;19,1;0,028
entrées et plats composés;Tomate à la provençale, fait maison;-;83,6;1,65;6,55;4,32;2,71;3,84;2;1,46;0;4,09;0,94;4;0,47;0,67;13,1;247;0,01;1,64;-;21,5;0,063;0,038;0,61;0,32;0,11;22,2;0
entrées et plats composés;Beignet de légumes;-;64,8;3,52;23;8,52;3,03;-;1,95;1,23;0;8,14;0,99;34;0,69;0,72;17,7;209;0,16;2,86;-;13,2;0,058;0,14;0,42;0,39;0,12;43;0,14
entrées et plats composés;Falafel ou Boulette de pois-chiche et/ou fève, frite;252;48;8,25;18,7;14,4;1,4;11,9;7,7;2,66;0;27,07;1,5;1,95;1,6;2,1;51;390;< 0,25;6,9;10;< 0,5;0,047;< 0,01;< 0,1;0,43;0,17;105;0
entrées et plats composés;Gratin de légumes en sauce blanche type béchamel, cuit;-;79,9;3,64;6,74;6,5;3,2;2,9;1;1,26;0;11,67;3,48;37;0,64;0,31;13;190;< 0,25;0,81;22,9;1,94;0,064;0,1;0,15;0,43;0,052;24,4;0,33
entrées et plats composés;Falafel ou Boulette de pois-chiche et/ou fève, préemballé;211;55,7;7,38;17,7;10,8;3,57;9,5;6;1,83;0;20,21;1,28;-;0,87;1,6;40;340;< 0,25;4,04;23,6;< 0,5;0,15;0,044;0,43;0,36;0,082;57,3;-
entrées et plats composés;Blé dur précuit cuisiné, en sachet micro-ondable;188;57;4,93;29,5;4,84;2,21;-;2,58;1,16;0;1,11;1,11;-;1,16;-;-;-;0;8,99;-;-;0,72;0,016;3;0;0,12;118;0
entrées et plats composés;Blé dur précuit, grains entiers, cuisiné, à poêler;344;-;11,1;67,2;1,59;2,64;-;6,28;1,51;0;0,69;0,69;-;1,51;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Ravioli à la viande, sauce tomate, appertisé;95,3;79,1;4,22;12,5;2,83;2,23;7,4;1,41;1,31;0;5,1317;1,14;41,4;0,96;1,09;13,8;169;0,14;0,32;-;1,22;0,37;0,27;1,25;0,4;0,15;3;traces
entrées et plats composés;Lasagnes ou cannelloni à la viande (bolognaise);134;74,3;6,29;13,5;5,72;2,84;8,9;1,91;1,37;0;7,56889;2,55;24,3;0,97;0,71;21;194;0,11;0,91;-;2,57;0,064;0,1;1,19;0,31;0,12;7,49;0,45
entrées et plats composés;Pâtes à la bolognaise (spaghetti, tagliatelles…);116;69,5;5,32;13,6;4,07;2,64;10,5;1,9;1,1;0;3,93;1,42;11;0,83;0,79;19,6;176;0;1,31;-;4,22;0,05;0,05;1,1;0,4;0,14;9,05;0,32
entrées et plats composés;Riz cantonais;164;62,9;5,46;23,6;4,94;1,28;18,4;1,74;1,33;0;7,7576;0,75;15,8;0,86;0,4;8,47;78;< 0,5;0,91;-;0,97;0,12;0,051;1,1;0,18;0,085;33;0,14
entrées et plats composés;Ravioli chinois à la vapeur à la crevette, cuit;190;59,4;5,5;27,8;5,5;1,1;22,1;3,6;1,18;0;10,07;1,55;52,3;0,96;0,57;12;56;< 0,25;0,97;< 0,8;< 0,5;0,015;< 0,01;0,27;0,061;0,038;24,5;0,65
entrées et plats composés;Gratin de pâtes;179;64,7;7,06;16,4;9,2;2,19;11,9;1;1,4;0;16,62;4,85;20,4;0,85;0,4;20;124;0,3;0,34;-;1,1;0,09;0,13;0,64;0,28;0,06;6;0,39
entrées et plats composés;Lasagnes ou cannellonis aux légumes, préemballées, cuits;103;74;2,75;11;4,85;4,75;-;2,25;1,41;0;4,74;1,5;5;0,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Pâtes à la carbonara (spaghetti, tagliatelles…);161;66;5,91;14,2;8,7;1,79;12,5;1,18;1,11;0;15,009;4,34;25,9;0,86;0,45;14,6;87,1;0,1;1,19;-;0,82;0,13;0,08;1,9;0,3;0,06;7,29;0,11
entrées et plats composés;Lasagnes ou cannellonis au poisson, préemballées;148;71,2;7,28;13;7,1;2,03;-;1,68;1,38;0;7,09;2,5;-;1,02;0,41;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites;226;51,3;10;26,8;8,3;4,4;17,9;1,9;1,46;0;14,76;4,64;36,2;0,79;0,48;16,2;47,9;0,05;0,1;-;0,2;0,029;0,047;0,29;0,27;0,04;7,47;0,18
entrées et plats composés;Couscous de légumes, préemballé;108;71,1;4,32;16,4;2,25;2,54;-;2,24;2,07;0;2,982;0,8;-;0,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;219;51,2;7,94;27,8;7,5;3,53;20,8;3,4;1,74;0;13,81;2,36;27,2;1,05;0,57;20;130;< 0,25;0,64;< 0,8;< 0,5;0,07;0,07;1,32;0,45;0,058;8,62;0,25
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues;265;35,3;11,4;40,3;5,79;3,91;-;3,15;1,77;0;10,511;2,45;-;1,28;0,72;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites;174;60,3;6,94;25,1;4,65;1;22,1;2,15;0,87;0;8,4729;1,65;25,7;0,52;0,78;17,5;95;< 0,38;0,28;0,74;< 0,5;0,19;0,049;0,51;0,32;0,051;13,6;0,57
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;268;42,9;11,3;37,3;7,69;3,83;9,6;2,23;1,57;0;14,237;4,28;49;1,13;1;21,7;112;-;< 0,1;-;-;0,07;0,13;0,26;0,47;< 0,05;11,4;0,6
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;262;37,5;9,98;41,4;5,69;3,46;-;2,87;1,75;0;9,614;2,74;-;1,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Nouilles sautées/poêlées aux crevettes;104;76,4;4,88;12,6;3,4;1,7;10,4;1,6;1,18;0;6,2;1,16;25,7;0,84;0,5;19;100;< 0,25;0,68;7,53;< 0,5;0,053;0,35;0,37;0,18;0,056;77;0,21
entrées et plats composés;Riz blanc, avec poulet, préemballé, cuit;175;-;4,23;31,5;3,19;3,48;-;0,99;0,78;0;0,52;0,52;-;0,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Riz blanc, avec légumes et viande, préemballé, cuit;167;-;4,61;28,3;3,57;1,91;-;0,98;0,85;0;0,69;0,69;-;0,85;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Risotto, aux légumes, préemballé;120;73,6;2,74;18,4;3,8;0,85;-;< 0,5;1,13;0;6,88;2;-;0,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Risotto, aux fruits de mer, préemballé;130;-;5,47;12,5;6,07;2,02;-;1,15;0,85;0;2,92;2,92;-;0,85;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Risotto, aux fromages, préemballé;195;-;5,65;30,9;5,16;0,58;-;0,7;0,82;0;2,49;2,49;-;0,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Raviolis aux légumes, sauce tomate, appertisés;91,1;78,5;2,88;13,5;2,45;2,83;10,7;1,7;1,36;0;4,62;0,48;2,74;0,76;1,1;16;280;< 0,25;0,85;9,31;< 0,5;0,05;0,033;1,14;0,17;0,096;14,2;0,082
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;156;64,6;5,19;20,9;4,9;1,9;19;3,7;0,83;0;9,08;1,93;28,5;0,49;0,51;15;76;< 0,25;0,81;1,35;< 0,5;0,057;0,066;0,24;0,32;0,038;42,4;0,49
entrées et plats composés;Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;163;-;7,17;15,9;7,4;5,85;-;1,85;0,8;0;4,35;4,35;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;255;-;9,4;41,4;5,06;3,14;-;3,02;0,81;0;1,74;1,74;-;0,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);199;55,9;7,98;25,7;6,53;2,82;20;2,52;1,25;0;11,8428;2,88;30;0,72;0,6;17,2;83,1;0,12;0,36;0,75;0,23;0,092;0,055;0,56;0,33;0,047;14,2;0,36
entrées et plats composés;Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;150;67,6;2,5;18,6;6,5;0,8;17,8;2,6;1,8;0;12,22;0,85;-;1,34;1,1;14;110;< 0,25;2,48;64,7;< 0,5;0,018;< 0,01;< 0,1;0,12;0,042;19,9;-
entrées et plats composés;Lasagnes ou cannellonis aux légumes, préemballés, cuits;122;74,5;4,38;11,8;5,9;4,3;7,5;traces;1,4;0;10,79;1,91;11,2;0,6;0,62;20;240;< 0,25;2,19;6,37;3,34;< 0,015;0,063;< 0,1;0,28;0,08;27;0,2
entrées et plats composés;Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;179;65,6;7;14;10,2;2,3;11,5;1,4;1,49;0;18,42;5,23;25,6;0,85;0,18;6,5;59;< 0,25;1,14;13,7;0,67;0,041;0,089;0,35;0,36;0,047;39,5;0,18
entrées et plats composés;Lasagnes ou cannellonis au fromage et aux épinards, préemballés;133;68,1;6,1;11,4;6,6;3,5;-;1,87;1,5;0;6,84;3,1;-;0,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Aligot (purée de pomme de terre à la tomme fraîche), préemballé;195;65,1;8,06;9,5;13,3;0,57;-;1,3;2,07;0;23,04;8,25;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Fromage de chèvre pané à dorer, préemballé;-;48,6;12,9;15;19,2;3,5;11,3;-;1,8;0;35,21;9,99;76,9;1,27;0,27;14;120;< 0,25;2,79;1,58;< 0,5;0,043;0,081;< 0,1;0,21;0,035;24,9;0,17
entrées et plats composés;Soufflé au fromage;184;67,3;12,9;3,8;12,6;1,77;2,03;2,1;1,5;0;11,91;7,37;118;0,92;0,6;19,7;138;0,5;0,6;-;1;0,05;0,24;0,53;0,58;0,06;20,1;0,6
entrées et plats composés;Tartiflette, préemballée;161;68,9;6;13,5;8,9;1,25;9,3;0,8;1,57;0;15,95;4,47;18,2;0,75;0,26;14;270;< 0,25;0,56;0,82;< 0,5;0,05;0,061;1,01;0,23;0,13;33,4;0,2
entrées et plats composés;Gougère;399;30,3;16,2;22,7;26,6;0,56;18;1,9;2,09;0;48,08;16;213;1,13;1,34;22,7;131;0,89;0,97;-;0;0,076;0,35;0,29;0,76;0,11;37,4;0,98
entrées et plats composés;Préparation à base de fromage(s) pour fondue savoyarde, préemballée;231;57,4;16,2;2,6;17,2;1,1;-;0;3,03;0,3;32,3;12;73,6;1,28;0,3;21,7;73;< 0,5;0,35;-;0;< 0,04;0,21;< 0,08;0,12;0,065;< 16;0,83
entrées et plats composés;Fromage pané au jambon;263;52,6;17,4;15,3;14,6;1,5;13,8;< 1;3,15;0;27,066;7,15;31,9;2,32;0,8;25,8;246;< 0,5;4,1;-;< 1;0,087;0,12;5,7;0,55;0,25;< 20;0,61
entrées et plats composés;Escalope végétale ou steak à base de soja;-;52,5;15,5;8,7;14,7;2,3;6,4;8,8;2,82;0;20,6607;0,65;3,16;1,75;2,3;81;380;< 0,5;0,2;9,26;2;0,13;0,06;0,65;0,34;0,08;54,6;0,4
entrées et plats composés;Tempeh;157;63,7;16,1;7,89;4,7;0,24;< 0,35;6,2;1,19;0;8,78;0,57;0;0,098;1,7;60;310;< 0,25;1,17;20,3;< 0,5;0,03;0,18;1,46;0,57;0,091;38,5;0,019
entrées et plats composés;Nuggets de blé (sans soja), préemballé;284;45,7;12,6;22,4;14,9;1,33;18,7;2,55;1,45;0;27,81;1,48;-;0,67;0,88;15;340;< 0,25;6,84;5,24;< 0,5;0,053;< 0,01;0,24;0,27;0,026;12,3;-
entrées et plats composés;Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;253;48;14,1;18,5;12,6;3,17;14,1;4,18;2,25;0;23,51;1,34;< 2;1,18;1,7;56;400;< 0,25;3,88;< 0,8;4,36;0,14;0,071;0,31;0,36;0,056;23,1;0,034
entrées et plats composés;Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé;251;45,8;15,5;19,7;10,9;1,75;16,7;5,38;2,43;0;20,42;1,14;-;1,39;2,4;50;330;< 0,25;3,76;2,58;< 0,5;0,069;< 0,1;0,61;0,34;0,042;31,5;-
entrées et plats composés;Pané soja et blé (ne convient pas aux véganes ou végétaliens);260;47,7;14,4;16,8;13,9;1,28;14,6;4,39;2,36;0;25,92;1,45;5,13;1,03;2,2;38;380;< 0,25;5,22;9,15;< 0,5;0,12;0,13;1;0,37;0,048;26,6;0,057
